id_budget,chapitre,article,paragraphe,ligne,libelle,code_eco,niveau_hierarchique,libelle_court
17,10.0,10.0,30.0,36.0,Cotisation à ADEFRAM,5910.0,ligne,Cotisation à ADEFRAM
18,10.0,10.0,40.0,41.0,Frais de transport à l'intérieur du Royaume,4211.0,ligne,Frais de transport à l'intérieur du Royaume
19,10.0,10.0,40.0,42.0,Frais de transport à l'étranger,4212.0,ligne,Frais de transport à l'étranger
20,10.0,10.0,40.0,43.0,Frais de mission à l'étranger,4222.0,ligne,Frais de mission à l'étranger
21,10.0,10.0,40.0,44.0,"Frais d'hebergement, de restauration et de réception",4700.0,ligne,"Frais d'hebergement, de restauration et de récepti"
22,10.0,10.0,50.0,51.0,Abonnement aux bulletins officiels et aux journaux et revues,4990.0,ligne,Abonnement aux bulletins officiels et aux journaux
23,10.0,10.0,50.0,52.0,Abonnement aux agences d'information,4940.0,ligne,Abonnement aux agences d'information
24,10.0,10.0,50.0,53.0,Abonnement aux réseaux d'information,4990.0,ligne,Abonnement aux réseaux d'information
25,10.0,10.0,50.0,54.0,Achat de documentations diverses,3520.0,ligne,Achat de documentations diverses
26,10.0,10.0,50.0,55.0,Abonnement aux réseaux d'eau et d'éléctricité,4990.0,ligne,Abonnement aux réseaux d'eau et d'éléctricité
27,10.0,10.0,60.0,61.0,Frais de réception,4700.0,ligne,Frais de réception
28,10.0,10.0,60.0,62.0,Frais d'hebergement et de restauration,4700.0,ligne,Frais d'hebergement et de restauration
29,10.0,10.0,60.0,63.0,Frais de transport,4210.0,ligne,Frais de transport
30,10.0,10.0,60.0,64.0,Fournitures et impression,3510.0,ligne,Fournitures et impression
31,10.0,10.0,60.0,65.0,Location de matériel didactique,4490.0,ligne,Location de matériel didactique
32,10.0,10.0,60.0,66.0,Frais d'honoraires,4550.0,ligne,Frais d'honoraires
33,10.0,10.0,60.0,67.0,Vacations,4540.0,ligne,Vacations
34,10.0,10.0,60.0,68.0,Frais d'animation,4590.0,ligne,Frais d'animation
35,10.0,20.0,10.0,11.0,Traitements et indémnités permanentes du personnel titulaire et,1110.0,ligne,Traitements et indémnités permanentes du personnel
36,10.0,20.0,10.0,12.0,Salaires et indemnités permanentes du personnel non titulaire,1120.0,ligne,Salaires et indemnités permanentes du personnel no
37,10.0,20.0,10.0,13.0,Salaires des assujettis au service civil,1140.0,ligne,Salaires des assujettis au service civil
38,10.0,20.0,10.0,14.0,Salaires du personnel occasionnel,1140.0,ligne,Salaires du personnel occasionnel
39,10.0,20.0,10.0,15.0,Salaires et traitements des volontaires au service national actif,1190.0,ligne,Salaires et traitements des volontaires au service
40,10.0,20.0,20.0,21.0,Indemnités pour travaux supplémentaires,1210.0,ligne,Indemnités pour travaux supplémentaires
41,10.0,20.0,20.0,22.0,indémnités de caisse,1220.0,ligne,indémnités de caisse
42,10.0,20.0,20.0,23.0,Inemnités d'usure d'effet,1210.0,ligne,Inemnités d'usure d'effet
43,10.0,20.0,20.0,24.0,Indemnités pour travaux pénibles et salissants,1230.0,ligne,Indemnités pour travaux pénibles et salissants
44,10.0,20.0,20.0,25.0,Vacations,1210.0,ligne,Vacations
45,10.0,20.0,30.0,31.0,Participations patronales à la caisse marocaine de retraite (C.M.R.),1311.0,ligne,Participations patronales à la caisse marocaine de
46,10.0,20.0,30.0,32.0,Participations patronales au régime collectif d'allocation de retraite,1312.0,ligne,Participations patronales au régime collectif d'al
47,10.0,20.0,30.0,33.0,Participations patronales aux organismes de prévoyance sociale,1320.0,ligne,Participations patronales aux organismes de prévoy
48,10.0,20.0,30.0,34.0,Prime de naissance,1420.0,ligne,Prime de naissance
49,10.0,20.0,30.0,35.0,Assurance du personnel ouvrier,4930.0,ligne,Assurance du personnel ouvrier
50,10.0,20.0,30.0,36.0,Aide exceptionnelle au logement,1430.0,ligne,Aide exceptionnelle au logement
51,10.0,20.0,30.0,37.0,Assistance au titre du pèlerinage aux lieux saints de l'islam,5810.0,ligne,Assistance au titre du pèlerinage aux lieux saints
52,10.0,20.0,30.0,38.0,Habillement des agents y ayant droit,3420.0,ligne,Habillement des agents y ayant droit
53,10.0,20.0,40.0,41.0,Frais de déplacement à l'intérieur du Royaume,4221.0,ligne,Frais de déplacement à l'intérieur du Royaume
54,10.0,20.0,40.0,42.0,Frais de mission à l'étranger,4222.0,ligne,Frais de mission à l'étranger
55,10.0,20.0,40.0,43.0,Frais de transport à l'intérieur du Royaume,4211.0,ligne,Frais de transport à l'intérieur du Royaume
56,10.0,20.0,40.0,44.0,Frais de stage,4220.0,ligne,Frais de stage
57,10.0,30.0,10.0,11.0,Location de bâtiments administratifs,4412.0,ligne,Location de bâtiments administratifs
58,10.0,30.0,10.0,12.0,Location de logements,4413.0,ligne,Location de logements
59,10.0,30.0,10.0,13.0,Location de terrains,4411.0,ligne,Location de terrains
60,10.0,30.0,10.0,14.0,Location de matériel de transport et engins,4421.0,ligne,Location de matériel de transport et engins
61,10.0,30.0,10.0,15.0,Location de matériel informatique,4423.0,ligne,Location de matériel informatique
62,10.0,30.0,20.0,21.0,Entretien courant de bâtiments administratifs,4111.0,ligne,Entretien courant de bâtiments administratifs
63,10.0,30.0,20.0,22.0,Entretien courant de logements,4112.0,ligne,Entretien courant de logements
64,10.0,30.0,20.0,23.0,Entretien et réparation courant de matériel informatique,4133.0,ligne,Entretien et réparation courant de matériel inform
65,10.0,30.0,20.0,24.0,Entretien courant de matériel et mobilier de bureau,4134.0,ligne,Entretien courant de matériel et mobilier de burea
66,10.0,30.0,20.0,25.0,"Entretien courant de réseaux téléphoniques, électriques et d'eau",4190.0,ligne,"Entretien courant de réseaux téléphoniques, électr"
67,10.0,30.0,20.0,26.0,Entretien courant de matériel technique,4132.0,ligne,Entretien courant de matériel technique
68,10.0,30.0,30.0,31.0,"Fournitures de bureau, produits d'impression, papeterie et imprimés",3510.0,ligne,"Fournitures de bureau, produits d'impression, pape"
69,10.0,30.0,30.0,32.0,Fournitures pour matériel technique et informatique,3530.0,ligne,Fournitures pour matériel technique et informatiqu
70,10.0,30.0,30.0,33.0,Fournitures et produits de publication,3590.0,ligne,Fournitures et produits de publication
71,10.0,30.0,40.0,41.0,Achat de carburants et lubrifiants,3310.0,ligne,Achat de carburants et lubrifiants
72,10.0,30.0,40.0,42.0,Pièces de rechange et pneumatique pour les véhicules et engins,3710.0,ligne,Pièces de rechange et pneumatique pour les véhicul
73,10.0,30.0,40.0,43.0,Entretien et réparation de véhicules et engins,4131.0,ligne,Entretien et réparation de véhicules et engins
74,10.0,30.0,40.0,44.0,Frais d'assurance de véhicules et engins,4930.0,ligne,Frais d'assurance de véhicules et engins
75,10.0,30.0,40.0,45.0,Taxe spéciale sur les véhicules,2900.0,ligne,Taxe spéciale sur les véhicules
76,10.0,30.0,50.0,51.0,Achat de produits bruts des carrières,3210.0,ligne,Achat de produits bruts des carrières
77,10.0,30.0,50.0,52.0,"Achat de ciment, trottoirs et carreaux",3220.0,ligne,"Achat de ciment, trottoirs et carreaux"
78,10.0,30.0,50.0,53.0,Achat de bois,3230.0,ligne,Achat de bois
79,10.0,30.0,50.0,54.0,"Achat de produits de feronnerie, regards et buses",3240.0,ligne,"Achat de produits de feronnerie, regards et buses"
80,10.0,30.0,50.0,55.0,Achat de vitrerie,3250.0,ligne,Achat de vitrerie
81,10.0,30.0,50.0,56.0,Achat de peinture,3260.0,ligne,Achat de peinture
82,10.0,30.0,50.0,57.0,Achat d'articles sanitaires et de plomberie,3270.0,ligne,Achat d'articles sanitaires et de plomberie
83,10.0,30.0,50.0,58.0,Achat de petit matériel électrique,3280.0,ligne,Achat de petit matériel électrique
84,10.0,30.0,50.0,59.0,Achat de bitume,3350.0,ligne,Achat de bitume
85,10.0,30.0,50.0,60.0,Achat de chaux,3290.0,ligne,Achat de chaux
86,10.0,30.0,50.0,61.0,Achat d'agglomérés,3290.0,ligne,Achat d'agglomérés
87,10.0,30.0,50.0,62.0,Achat de briques,3290.0,ligne,Achat de briques
88,10.0,30.0,60.0,61.0,Achat de produits d'entretien ménager,3630.0,ligne,Achat de produits d'entretien ménager
89,10.0,30.0,60.0,62.0,Achat de produits désinfectants,3640.0,ligne,Achat de produits désinfectants
90,10.0,30.0,70.0,71.0,Frais de fourniture de bétail et harnachement,3120.0,ligne,Frais de fourniture de bétail et harnachement
91,10.0,30.0,70.0,72.0,Achat d'armes et munitions,3990.0,ligne,Achat d'armes et munitions
92,10.0,30.0,70.0,73.0,Achat d'encre d'estampillage des viandes,3990.0,ligne,Achat d'encre d'estampillage des viandes
93,10.0,30.0,70.0,74.0,Achat de graisse,3390.0,ligne,Achat de graisse
94,10.0,30.0,70.0,75.0,Entretien et renouvellement de petit matériel,3390.0,ligne,Entretien et renouvellement de petit matériel
95,10.0,30.0,80.0,81.0,Etudes générales,4510.0,ligne,Etudes générales
96,10.0,30.0,80.0,82.0,Honoraires,4550.0,ligne,Honoraires
97,10.0,30.0,80.0,83.0,Frais d'établissement des états de paie par d'autres organismes,4550.0,ligne,Frais d'établissement des états de paie par d'autr
98,10.0,30.0,80.0,84.0,Frais d'études techniques et d'analyses,4520.0,ligne,Frais d'études techniques et d'analyses
99,10.0,30.0,90.0,91.0,Redevances d'électricité,3320.0,ligne,Redevances d'électricité
100,10.0,30.0,90.0,92.0,Redevances d'eau,3330.0,ligne,Redevances d'eau
101,10.0,30.0,90.0,93.0,Frais de chauffage et produits de chauffage,3360.0,ligne,Frais de chauffage et produits de chauffage
102,10.0,30.0,90.0,94.0,Taxes et redevances de télécommunication,4300.0,ligne,Taxes et redevances de télécommunication
103,10.0,30.0,90.0,95.0,Taxes postales et affranchissement,4340.0,ligne,Taxes postales et affranchissement
104,10.0,30.0,90.0,96.0,Assurances incendies et responsabilités civiles,4930.0,ligne,Assurances incendies et responsabilités civiles
105,10.0,30.0,90.0,97.0,Publicités,4600.0,ligne,Publicités
106,10.0,30.0,90.0,98.0,"Annonces légales, insertion, frais de publication",4600.0,ligne,"Annonces légales, insertion, frais de publication"
107,10.0,30.0,90.0,99.0,Impôts et taxes,2900.0,ligne,Impôts et taxes
108,10.0,40.0,10.0,11.0,Amortissement en capital de l'emprunt n contracté auprès,9110.0,ligne,Amortissement en capital de l'emprunt n contracté 
109,10.0,40.0,10.0,12.0,Amortissement en capital de l'emprunt n contracté auprès,9110.0,ligne,Amortissement en capital de l'emprunt n contracté 
110,10.0,40.0,10.0,13.0,Amortissement en capital de l'emprunt n contracté auprès,9110.0,ligne,Amortissement en capital de l'emprunt n contracté 
111,10.0,40.0,20.0,21.0,Remboursement de l'avance ndu,9130.0,ligne,Remboursement de l'avance ndu
112,10.0,40.0,20.0,22.0,Remboursement de l'avance ndu,9130.0,ligne,Remboursement de l'avance ndu
113,10.0,50.0,10.0,11.0,Intérêts de l'emprunt contracté auprès du FEC,9110.0,ligne,Intérêts de l'emprunt contracté auprès du FEC
114,10.0,50.0,10.0,12.0,Intérêts de l'emprunt n contracté auprès du FEC,9110.0,ligne,Intérêts de l'emprunt n contracté auprès du FEC
115,10.0,50.0,10.0,13.0,Intérêts de l'emprunt nducontracté auprès du,9110.0,ligne,Intérêts de l'emprunt nducontracté auprès du
116,10.0,50.0,20.0,21.0,Intérêts de retard,9110.0,ligne,Intérêts de retard
117,20.0,10.0,10.0,11.0,Subventions aux associations des oeuvres sociales du personnel,5730.0,ligne,Subventions aux associations des oeuvres sociales 
118,20.0,10.0,10.0,12.0,Subventions aux institutions publiques de bienfaisance,5710.0,ligne,Subventions aux institutions publiques de bienfais
119,20.0,10.0,10.0,13.0,Subventions aux oeuvres philanthropiques,5710.0,ligne,Subventions aux oeuvres philanthropiques
120,20.0,10.0,10.0,14.0,Subventions aux autres institutions sociales,5710.0,ligne,Subventions aux autres institutions sociales
121,20.0,10.0,20.0,21.0,Frais de circoncision,5890.0,ligne,Frais de circoncision
122,20.0,10.0,20.0,22.0,Frais de transport des enfants vers les colonies de vacances,5890.0,ligne,Frais de transport des enfants vers les colonies d
123,20.0,10.0,20.0,23.0,Dons et secours en faveur des indigents,5890.0,ligne,Dons et secours en faveur des indigents
124,20.0,10.0,20.0,24.0,Frais d'inhumation et de dépouillage,5890.0,ligne,Frais d'inhumation et de dépouillage
125,20.0,10.0,20.0,25.0,Frais d'hospitalisation des indigents,5890.0,ligne,Frais d'hospitalisation des indigents
126,20.0,10.0,20.0,26.0,Frais de transport des malades vers les centres hospitaliers,5890.0,ligne,Frais de transport des malades vers les centres ho
127,20.0,10.0,20.0,27.0,Achat de produits alimentaires à usage humain,3110.0,ligne,Achat de produits alimentaires à usage humain
128,20.0,20.0,10.0,11.0,Allocations aux associations sportives,5710.0,ligne,Allocations aux associations sportives
129,20.0,20.0,10.0,12.0,Allocations aux clubs sportifs,5720.0,ligne,Allocations aux clubs sportifs
130,20.0,20.0,20.0,21.0,Partipation aux frais de fonctionnement des salles de sports,5710.0,ligne,Partipation aux frais de fonctionnement des salles
131,20.0,20.0,20.0,22.0,Partipation aux frais de fonctionnement des terrains de sports,5720.0,ligne,Partipation aux frais de fonctionnement des terrai
132,20.0,20.0,20.0,23.0,Participation aux frais de fonctionnement des complexes sportifs,5710.0,ligne,Participation aux frais de fonctionnement des comp
133,20.0,20.0,20.0,24.0,Achat d'articles de sport,3990.0,ligne,Achat d'articles de sport
134,20.0,30.0,10.0,11.0,Achat de produits pharmaceutiques pour les B.M.H. et les centres,3610.0,ligne,Achat de produits pharmaceutiques pour les B.M.H. 
135,20.0,30.0,10.0,12.0,"Produits d'hygiène pour les B.M.H., centres hospitaliers et",3600.0,ligne,"Produits d'hygiène pour les B.M.H., centres hospit"
136,20.0,30.0,10.0,13.0,Achat de produits pour dératisation,3600.0,ligne,Achat de produits pour dératisation
137,20.0,30.0,10.0,14.0,Achat de pecticides et insecticides,3640.0,ligne,Achat de pecticides et insecticides
138,20.0,30.0,10.0,15.0,Achat de petit matériel pour les B.M.H,3910.0,ligne,Achat de petit matériel pour les B.M.H
139,20.0,30.0,20.0,21.0,Achat de produits de vaccination,3610.0,ligne,Achat de produits de vaccination
140,20.0,30.0,20.0,22.0,Achat de petit matériel de vaccination,3990.0,ligne,Achat de petit matériel de vaccination
141,20.0,40.0,10.0,11.0,Achat de petit matériel et outillage,3910.0,ligne,Achat de petit matériel et outillage
142,20.0,40.0,10.0,12.0,Achat de produits de laboratoire,3610.0,ligne,Achat de produits de laboratoire
143,20.0,40.0,10.0,13.0,Achat d'habillement et de linge,3420.0,ligne,Achat d'habillement et de linge
144,20.0,40.0,20.0,21.0,Entretien courant des bâtiments des centres hospitaliers,4110.0,ligne,Entretien courant des bâtiments des centres hospit
145,20.0,40.0,20.0,22.0,Entretien courant des bâtiments des dispensaires,4110.0,ligne,Entretien courant des bâtiments des dispensaires
146,20.0,40.0,30.0,31.0,Entretien et réparation courant de matériel technique,4132.0,ligne,Entretien et réparation courant de matériel techni
147,20.0,40.0,30.0,32.0,Entretien et réparation courant du mobilier et matériel de bureau,4134.0,ligne,Entretien et réparation courant du mobilier et mat
148,20.0,50.0,10.0,11.0,Achat de fournitures scolaires,3510.0,ligne,Achat de fournitures scolaires
149,20.0,50.0,10.0,12.0,Achat de livres remis en prix,3990.0,ligne,Achat de livres remis en prix
150,20.0,50.0,10.0,13.0,Achat de denrées alimentaires pour les cantines,3110.0,ligne,Achat de denrées alimentaires pour les cantines
151,20.0,50.0,20.0,21.0,Entretien et réparation courants de matériel et mobilier,4134.0,ligne,Entretien et réparation courants de matériel et mo
152,20.0,50.0,20.0,22.0,Entretien courant de bâtiments,4111.0,ligne,Entretien courant de bâtiments
153,20.0,60.0,10.0,11.0,Achat de fournitures scolaires,3510.0,ligne,Achat de fournitures scolaires
154,20.0,60.0,10.0,12.0,Achat de livres pour les bibliothèques,3520.0,ligne,Achat de livres pour les bibliothèques
155,20.0,60.0,10.0,13.0,Achat de livres pour la remise en prix,3990.0,ligne,Achat de livres pour la remise en prix
156,20.0,60.0,10.0,14.0,Achat de denrées alimentaires pour les internats,3110.0,ligne,Achat de denrées alimentaires pour les internats
157,20.0,60.0,10.0,15.0,Achat d'habillement et de linge pour les internats,3420.0,ligne,Achat d'habillement et de linge pour les internats
158,20.0,60.0,10.0,16.0,Achat de petit matériel pour les internats,3910.0,ligne,Achat de petit matériel pour les internats
159,20.0,60.0,20.0,21.0,Entretien et réparation courants de matériel,4130.0,ligne,Entretien et réparation courants de matériel
160,20.0,60.0,20.0,22.0,Entretien et réparation courants de bâtiments,4111.0,ligne,Entretien et réparation courants de bâtiments
161,20.0,70.0,10.0,11.0,Participation aux frais de fonctionnement des centres de formation,5510.0,ligne,Participation aux frais de fonctionnement des cent
162,20.0,70.0,10.0,12.0,Participation aux frais de fonctionnement des instituts de formation,5510.0,ligne,Participation aux frais de fonctionnement des inst
163,20.0,70.0,10.0,13.0,Frais de formation continue pour les élus,4540.0,ligne,Frais de formation continue pour les élus
164,20.0,70.0,10.0,14.0,Frais de formation continue pour le personnel de la collectivité,4540.0,ligne,Frais de formation continue pour le personnel de l
165,20.0,70.0,10.0,15.0,Frais de fonctionnement des foyers socioculturels de femme,4540.0,ligne,Frais de fonctionnement des foyers socioculturels 
166,20.0,70.0,10.0,16.0,Frais de fonctionnement des garderies d'enfants,4540.0,ligne,Frais de fonctionnement des garderies d'enfants
167,20.0,80.0,10.0,11.0,Achat de livres,3520.0,ligne,Achat de livres
168,20.0,80.0,10.0,12.0,Entretien et réparation courants de matériel et de mobilier,4134.0,ligne,Entretien et réparation courants de matériel et de
169,20.0,80.0,10.0,13.0,Entretien courant de bâtiments,4110.0,ligne,Entretien courant de bâtiments
170,20.0,80.0,10.0,14.0,Reliure de livres et registres divers,3510.0,ligne,Reliure de livres et registres divers
171,20.0,80.0,20.0,21.0,Achat d'instruments de musique,3990.0,ligne,Achat d'instruments de musique
172,20.0,80.0,20.0,22.0,Entretien et réparation courants de matériel technique,4132.0,ligne,Entretien et réparation courants de matériel techn
173,20.0,80.0,20.0,23.0,Entretien courant de bâtiments,4110.0,ligne,Entretien courant de bâtiments
174,20.0,80.0,30.0,31.0,Achat de petit matériel,3910.0,ligne,Achat de petit matériel
175,20.0,80.0,30.0,32.0,Entretien courant de bâtiments,4110.0,ligne,Entretien courant de bâtiments
176,20.0,80.0,30.0,33.0,Entretien et réparation courants de matériel,4130.0,ligne,Entretien et réparation courants de matériel
177,20.0,80.0,40.0,41.0,Entretien et réparation courants de matériel,4130.0,ligne,Entretien et réparation courants de matériel
178,20.0,80.0,40.0,42.0,Entretien courant de bâtiments,4110.0,ligne,Entretien courant de bâtiments
179,20.0,80.0,50.0,51.0,Entretien et réparation courants de matériel,4130.0,ligne,Entretien et réparation courants de matériel
180,20.0,80.0,50.0,52.0,Entretien courant de bâtiments,4111.0,ligne,Entretien courant de bâtiments
181,20.0,80.0,60.0,61.0,Entretien de monuments historiques,4111.0,ligne,Entretien de monuments historiques
182,20.0,80.0,70.0,71.0,Fournitures pour ateliers,3990.0,ligne,Fournitures pour ateliers
183,20.0,80.0,70.0,72.0,Entretien de material courant,4130.0,ligne,Entretien de material courant
184,20.0,80.0,70.0,73.0,Entretien courant de batîments,4110.0,ligne,Entretien courant de batîments
185,20.0,80.0,80.0,81.0,Allocation en faveur des associations culturelles,5720.0,ligne,Allocation en faveur des associations culturelles
186,20.0,90.0,10.0,11.0,Cérémonies religieuses,4800.0,ligne,Cérémonies religieuses
187,20.0,90.0,20.0,21.0,Achat de matériaux de construction,3200.0,ligne,Achat de matériaux de construction
188,20.0,90.0,20.0,22.0,Entretien et réparation courants de cimetières,4190.0,ligne,Entretien et réparation courants de cimetières
189,20.0,90.0,20.0,23.0,Frais de transport des morts,4219.0,ligne,Frais de transport des morts
190,20.0,90.0,20.0,24.0,Frais de lavage et enterrements des morts,4990.0,ligne,Frais de lavage et enterrements des morts
191,30.0,10.0,10.0,11.0,Achat d'arbres et de plantes,3190.0,ligne,Achat d'arbres et de plantes
192,30.0,10.0,10.0,12.0,Achat de graines et fleurs de plantation,3190.0,ligne,Achat de graines et fleurs de plantation
193,30.0,10.0,10.0,13.0,Achat d'engrais,3620.0,ligne,Achat d'engrais
194,30.0,10.0,10.0,14.0,Achat de petit matériel de signalisation,3910.0,ligne,Achat de petit matériel de signalisation
195,30.0,10.0,10.0,15.0,Achat des plaques de rotation des immeubles,3920.0,ligne,Achat des plaques de rotation des immeubles
196,30.0,10.0,10.0,16.0,Achat des plaques des noms des rues,3920.0,ligne,Achat des plaques des noms des rues
197,30.0,10.0,10.0,17.0,Achat de petit matériel,3910.0,ligne,Achat de petit matériel
198,30.0,10.0,10.0,18.0,Achat de buses et regards en fonte,3290.0,ligne,Achat de buses et regards en fonte
199,30.0,10.0,20.0,21.0,"Entretien courant d'espaces verts, jardins et forêts",4190.0,ligne,"Entretien courant d'espaces verts, jardins et forê"
200,30.0,10.0,20.0,22.0,"Entretien de places publiques, parcs, parckings et décharges",4121.0,ligne,"Entretien de places publiques, parcs, parckings et"
201,30.0,10.0,20.0,23.0,Entretien de plages ou piscines,4190.0,ligne,Entretien de plages ou piscines
202,30.0,10.0,20.0,24.0,Entretien d'égouts,4190.0,ligne,Entretien d'égouts
203,30.0,10.0,20.0,25.0,Entretien courant de voies,4122.0,ligne,Entretien courant de voies
204,30.0,10.0,20.0,27.0,Entretien de bâtiments techniques,4113.0,ligne,Entretien de bâtiments techniques
205,30.0,10.0,20.0,28.0,Entretien de campings,4190.0,ligne,Entretien de campings
206,30.0,10.0,20.0,29.0,Entretien d'installations sportives,4190.0,ligne,Entretien d'installations sportives
207,30.0,10.0,20.0,30.0,Entretien d'installations d'eau publique,4190.0,ligne,Entretien d'installations d'eau publique
208,30.0,10.0,20.0,31.0,Entretien d'installations d'éclairage public,4190.0,ligne,Entretien d'installations d'éclairage public
209,30.0,10.0,20.0,32.0,Entretien d'autres installations,4190.0,ligne,Entretien d'autres installations
210,30.0,20.0,10.0,11.0,Entretien et réparation courants de réseaux et installation d'électricité,4123.0,ligne,Entretien et réparation courants de réseaux et ins
211,30.0,20.0,10.0,12.0,Entretien courant d'ouvrages d'électricité publique,4123.0,ligne,Entretien courant d'ouvrages d'électricité publiqu
212,30.0,20.0,10.0,13.0,"Entretien courant de générateurs, postes de transformation et groupe",4190.0,ligne,"Entretien courant de générateurs, postes de transf"
213,30.0,20.0,10.0,14.0,Achat de matériel d'entretien,3990.0,ligne,Achat de matériel d'entretien
214,30.0,20.0,20.0,21.0,Redevances,3320.0,ligne,Redevances
215,30.0,30.0,10.0,11.0,Redevances,3330.0,ligne,Redevances
216,30.0,30.0,10.0,12.0,Achat de matériel d'entretien,3990.0,ligne,Achat de matériel d'entretien
217,40.0,10.0,10.0,10.0,Aides aux agriculteurs,5100.0,ligne,Aides aux agriculteurs
218,40.0,20.0,10.0,11.0,Artisanales,7700.0,ligne,Artisanales
219,50.0,10.0,10.0,11.0,Remboursement aux particuliers,5890.0,ligne,Remboursement aux particuliers
220,50.0,10.0,10.0,12.0,Remboursement aux entreprises,5120.0,ligne,Remboursement aux entreprises
221,50.0,10.0,20.0,21.0,Dommages et intérêts au profit des tiers,5840.0,ligne,Dommages et intérêts au profit des tiers
222,50.0,10.0,20.0,22.0,Frais de procédures et d'instances,5890.0,ligne,Frais de procédures et d'instances
223,50.0,20.0,10.0,10.0,Personnel,1190.0,ligne,Personnel
224,50.0,20.0,20.0,20.0,Matériel et frais de fonctionnement,3590.0,ligne,Matériel et frais de fonctionnement
225,50.0,30.0,10.0,11.0,Travaux de salubrité et sécurité publiques exécutés pour le compte,5400.0,ligne,Travaux de salubrité et sécurité publiques exécuté
226,50.0,40.0,10.0,11.0,Concours au budget annexe de,5300.0,ligne,Concours au budget annexe de
227,50.0,40.0,10.0,12.0,Concours au budget annexe de,5300.0,ligne,Concours au budget annexe de
228,50.0,40.0,10.0,13.0,Concours au budget annexe de,5300.0,ligne,Concours au budget annexe de
229,50.0,40.0,10.0,14.0,Concours au budget annexe de,5300.0,ligne,Concours au budget annexe de
230,50.0,40.0,20.0,21.0,Versement au C.C.D de,5400.0,ligne,Versement au C.C.D de
231,50.0,40.0,20.0,22.0,Versement au C.C.D de,5400.0,ligne,Versement au C.C.D de
232,50.0,40.0,20.0,23.0,Versement au C.C.D de,5400.0,ligne,Versement au C.C.D de
233,50.0,40.0,30.0,31.0,Versement au C.A.S de,5400.0,ligne,Versement au C.A.S de
234,50.0,40.0,30.0,32.0,Versement au C.A.S de,5400.0,ligne,Versement au C.A.S de
235,50.0,40.0,30.0,33.0,Versement au C.A.S de,5400.0,ligne,Versement au C.A.S de
236,50.0,40.0,40.0,41.0,Versement aux collectivités locales,5610.0,ligne,Versement aux collectivités locales
237,50.0,40.0,40.0,42.0,Versement,5610.0,ligne,Versement
238,50.0,40.0,40.0,43.0,Versement,5610.0,ligne,Versement
239,50.0,40.0,50.0,51.0,Versement au groupement,5610.0,ligne,Versement au groupement
240,50.0,40.0,50.0,52.0,Versement au groupement,5610.0,ligne,Versement au groupement
241,50.0,40.0,50.0,53.0,Versement au groupement,5610.0,ligne,Versement au groupement
242,50.0,40.0,60.0,61.0,Versement au fond ramed,5620.0,ligne,Versement au fond ramed
243,50.0,40.0,60.0,62.0,Versement à l'association Lalla Salma de lutte contre le cancer,5620.0,ligne,Versement à l'association Lalla Salma de lutte con
244,50.0,40.0,60.0,63.0,Versement aux entreprise privees en contre partie des services,5123.0,ligne,Versement aux entreprise privees en contre partie 
245,50.0,40.0,60.0,64.0,Versement à l'association Mohammadia pour la protection sociale,5113.0,ligne,Versement à l'association Mohammadia pour la prote
